Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,Validation_Status
2025-11-03 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02023,120.98,109.5,P,0.181343362,-0.006275935,0.004799157,0.003631337,-0.00222461,-0.000379427,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002395682,-0.000543296,0.001206433,-0.002250602,0.001242523,0.001606413,0.00027715,
2025-10-31 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.0204,121.12,109.5,P,0.169604199,-0.006210885,0.005149433,0.003557462,-0.001930878,-0.000438663,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002541253,-0.000618719,0.00102586,-0.002185726,0.001307314,0.001845368,0.000342258,
2025-10-30 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.0205,121.03,109.5,P,0.164632701,-0.006252326,0.005301013,0.003604429,-0.001846212,-0.000462251,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.00263117,-0.000658191,0.000984141,-0.002226881,0.001360608,0.001952312,0.000371707,
2025-10-29 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02066,121.14,109.5,P,0.162297865,-0.006201579,0.005388256,0.00354695,-0.001773232,-0.000479831,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002652552,-0.000675256,0.000935526,-0.002176528,0.001362953,0.002016552,0.000391125,
2025-10-28 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02074,121,109.5,P,0.157283296,-0.006266136,0.005552129,0.00362014,-0.001700204,-0.000505275,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002758631,-0.000721645,0.000903574,-0.002240687,0.001428957,0.002136665,0.000425289,
2025-10-27 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02084,121.01,109.5,P,0.154218662,-0.006261394,0.005666174,0.003614735,-0.001636024,-0.000525992,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002811792,-0.000750376,0.000866904,-0.00223592,0.001455622,0.002223152,0.000451461,
2025-10-24 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02072,120.8,109.5,P,0.14349954,-0.006360636,0.006081143,0.0037286,-0.001464691,-0.000597359,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003057863,-0.000871428,0.000783214,-0.002336796,0.001602556,0.002548452,0.000551497,
2025-10-23 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02065,121.21,109.5,P,0.145268082,-0.006169366,0.00604412,0.003510683,-0.001424581,-0.000602344,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002951579,-0.000841082,0.00073891,-0.002144904,0.001510388,0.002522815,0.000548077,
2025-10-22 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02066,121.39,109.5,P,0.144658683,-0.006089048,0.006087201,0.003421105,-0.001382552,-0.000616023,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002934653,-0.000844128,0.000707194,-0.002067509,0.001486449,0.002559731,0.000562263,
2025-10-21 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02038,121.43,109.5,P,0.142706506,-0.006071467,0.006176818,0.003401649,-0.001340585,-0.000634969,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.002968251,-0.000866447,0.000682869,-0.002050813,0.001500077,0.002633762,0.000587312,
2025-10-20 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02015,121.19,109.5,P,0.138095762,-0.006178264,0.006366054,0.00352067,-0.00129618,-0.000665558,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.00310817,-0.000931122,0.000670323,-0.00215357,0.001592285,0.002789611,0.000636988,
2025-10-17 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.0201,121.1,109.5,P,0.131197328,-0.00621914,0.006702965,0.00356675,-0.001187738,-0.000732253,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003287852,-0.001033953,0.000615882,-0.002193749,0.001692992,0.003080859,0.00073785,
2025-10-16 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02004,121.23,109.5,P,0.130573158,-0.006159935,0.006750014,0.003500087,-0.001158031,-0.000746909,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003279666,-0.001040235,0.000594435,-0.002135662,0.001676207,0.003124336,0.000755611,
2025-10-15 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02016,121.16,109.5,P,0.128155153,-0.006191556,0.0068745,0.003535608,-0.001126728,-0.00077114,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003354482,-0.001081807,0.000580596,-0.002166542,0.001721294,0.003235441,0.000795074,
2025-10-14 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02021,120.66,109.5,P,0.12190889,-0.006428111,0.007182015,0.003806987,-0.001090243,-0.000818567,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003627753,-0.001211497,0.000581559,-0.002406978,0.001916864,0.003512521,0.000889445,
2025-10-13 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02026,120.28,109.5,P,0.116897789,-0.006620786,0.007454242,0.004035341,-0.001057152,-0.000862354,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.003868406,-0.001331111,0.000579387,-0.002615255,0.002091863,0.003766502,0.000978812,
2025-10-10 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02009,120.14,109.5,P,0.111421055,-0.006694662,0.007817944,0.004124629,-0.000981778,-0.000937998,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004092431,-0.001470602,0.000542468,-0.002698115,0.00223232,0.00412353,0.00111735,
2025-10-09 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02025,119.6,109.5,P,0.105415308,-0.006997143,0.008203032,0.004500304,-0.000951298,-0.000998872,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004471386,-0.001667335,0.000547696,-0.003055455,0.002525243,0.004509077,0.001259946,
2025-10-08 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02019,119.84,109.5,P,0.106283229,-0.006859156,0.008169608,0.004326918,-0.000933945,-0.001004184,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004369085,-0.001629366,0.000527303,-0.002888806,0.002429083,0.004478757,0.00125518,
2025-10-07 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02029,119.28,109.5,P,0.10030159,-0.007190114,0.008589525,0.004748401,-0.00090525,-0.00107117,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.00479581,-0.001857895,0.000534075,-0.003298857,0.002767117,0.004914443,0.00142094,
2025-10-06 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02026,119.29,109.5,P,0.099291095,-0.007183835,0.008683424,0.004740221,-0.000886242,-0.001094185,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.00484139,-0.001895301,0.000522109,-0.003290729,0.002791474,0.005016999,0.001466045,
2025-10-03 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.0202,119.48,109.5,P,0.097769437,-0.007067827,0.008859427,0.004590396,-0.000836028,-0.001148918,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004857054,-0.001944254,0.000484172,-0.003143119,0.00276474,0.005215383,0.001562045,
2025-10-02 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02,119.4,109.5,P,0.096135857,-0.007116059,0.009004544,0.004652392,-0.000818604,-0.001179592,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004964742,-0.002015303,0.0004769,-0.003203925,0.002841215,0.005376141,0.001631196,
2025-10-01 00:00:00,0.01,FBTPZ5 P 109.5,2025-11-21 00:00:00,0.02017,119.44,109.5,P,0.09551212,-0.007091726,0.009073971,0.004621056,-0.000803471,-0.001199583,1000.0000,BTP Future P 109.5 Nov-2025,FBTPZ5,EUR,0,-0.004984275,-0.002039326,0.000466332,-0.003173128,0.002844675,0.005455506,0.001669265,
2025-11-03 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02023,120.98,110,P,0.173955694,-0.006520891,0.004967107,0.003916014,-0.002209481,-0.000394049,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.002570895,-0.000598547,0.001241922,-0.002516311,0.001379638,0.001714499,0.000302138,
2025-10-31 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.0204,121.12,110,P,0.162771932,-0.006450554,0.005328069,0.003833122,-0.001917688,-0.000455376,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.002725021,-0.00068096,0.001055728,-0.002440746,0.00144994,0.00196817,0.000372812,
2025-10-30 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.0205,121.03,110,P,0.157952784,-0.006495364,0.005486391,0.003885818,-0.001833422,-0.000479994,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.002822825,-0.000724865,0.001012983,-0.002488676,0.001510138,0.002083152,0.000405101,
2025-10-29 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02066,121.14,110,P,0.155770343,-0.006440503,0.005575183,0.003821341,-0.001761028,-0.000498084,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.002844061,-0.00074308,0.000962723,-0.00243005,0.001511408,0.002150535,0.000425992,
2025-10-28 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02074,121,110,P,0.150886174,-0.006510306,0.005747076,0.003903461,-0.001688286,-0.00052472,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.002960057,-0.000794917,0.000930113,-0.002504773,0.001586384,0.002280198,0.000463577,
2025-10-27 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02084,121.01,110,P,0.147951245,-0.006505181,0.005865127,0.003897398,-0.001624524,-0.000546218,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003016934,-0.000826505,0.000892347,-0.002499221,0.001615855,0.002372377,0.000492077,
2025-10-24 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02072,120.8,110,P,0.137567392,-0.006612613,0.006298896,0.004025367,-0.001454069,-0.000620741,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003284824,-0.000961308,0.000806562,-0.002616958,0.00178205,0.002722399,0.000601862,
2025-10-23 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02065,121.21,110,P,0.139457869,-0.006405711,0.006253641,0.003780709,-0.001414643,-0.000625135,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003163486,-0.000925107,0.000760281,-0.002393287,0.001673973,0.002689521,0.000596695,
2025-10-22 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02066,121.39,110,P,0.138953942,-0.006319002,0.006295404,0.003680426,-0.001373053,-0.000638998,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003142373,-0.000927315,0.000727384,-0.002303408,0.001645149,0.002726551,0.000611521,
2025-10-21 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02038,121.43,110,P,0.137096208,-0.006300036,0.006387591,0.003658668,-0.001331388,-0.000658577,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003177694,-0.000951578,0.000702309,-0.002284046,0.001659728,0.002804885,0.000638623,
2025-10-20 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02015,121.19,110,P,0.132563684,-0.00641533,0.006587614,0.003791907,-0.001287054,-0.000690787,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003331673,-0.001024283,0.000689738,-0.00240337,0.001765015,0.002974232,0.00069357,
2025-10-17 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.0201,121.1,110,P,0.125903875,-0.006459511,0.006938499,0.003843578,-0.00117925,-0.000760221,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.003525983,-0.001138118,0.000633837,-0.002450127,0.001877986,0.003286188,0.000803804,
2025-10-16 00:00:00,0.01,FBTPZ5 P 110,2025-11-21 00:00:00,0.02004,121.23,110,P,0.12535897,-0.006395539,0.006984926,0.003768855,-0.001149847,-0.000775138,1000.0000,BTP Future P 110 Nov-2025,FBTPZ5,EUR,0,-0.00351475,-0.001143994,0.000611601,-0.002382561,0.001857456,0.003330466,0.000822541,
