Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,Validation_Status
2025-10-02 00:00:00,0.001,TYZ25 P 100,2025-10-03 00:00:00,0.038543,112.921875,100,P,0.742466165,-0.000826074,0.000167298,0.0006437,-0.00099999,-2.58304E-06,1000.0000,CBoT 10y Friday Call Options P 100 Oct-2025,TYZ25,USD,0,-0.000118235,-1.23667E-05,0.004389182,-0.000521172,8.59392E-05,2.19891E-05,2.00742E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 100,2025-10-03 00:00:00,0.038625,112.84375,100,P,0.522272599,-0.000830675,0.000238124,0.000650825,-0.00099702,-5.19101E-06,1000.0000,CBoT 10y Friday Call Options P 100 Oct-2025,TYZ25,USD,0,-0.000168864,-2.50774E-05,0.00220474,-0.000529417,0.000123302,4.43593E-05,5.74873E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 100.5,2025-10-03 00:00:00,0.038543,112.921875,100.5,P,0.714267029,-0.000856775,0.000173031,0.000691956,-0.00099999,-2.67802E-06,1000.0000,CBoT 10y Friday Call Options P 100.5 Oct-2025,TYZ25,USD,0,-0.000126722,-1.36682E-05,0.004525566,-0.000580382,9.53497E-05,2.34874E-05,2.20844E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 100.5,2025-10-03 00:00:00,0.038625,112.84375,100.5,P,0.502324623,-0.000861725,0.000246362,0.000699902,-0.000996924,-5.38299E-06,1000.0000,CBoT 10y Friday Call Options P 100.5 Oct-2025,TYZ25,USD,0,-0.000181055,-2.77321E-05,0.002273622,-0.000589923,0.000136883,4.73992E-05,6.32769E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 101,2025-10-03 00:00:00,0.038543,112.921875,101,P,0.68613468,-0.00088982,0.000179183,0.000745832,-0.00099999,-2.78025E-06,1000.0000,CBoT 10y Friday Call Options P 101 Oct-2025,TYZ25,USD,0,-0.000136163,-1.51615E-05,0.004671222,-0.000648912,0.000106195,2.51479E-05,2.43786E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 101,2025-10-03 00:00:00,0.038625,112.84375,101,P,0.482423497,-0.00089516,0.00025521,0.000754732,-0.000996821,-5.58973E-06,1000.0000,CBoT 10y Friday Call Options P 101 Oct-2025,TYZ25,USD,0,-0.000194627,-3.07802E-05,0.002347217,-0.000660015,0.000152549,5.07702E-05,6.98894E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 101.5,2025-10-03 00:00:00,0.038543,112.921875,101.5,P,0.658064591,-0.000925497,0.000185804,0.000806253,-0.00099999,-2.89062E-06,1000.0000,CBoT 10y Friday Call Options P 101.5 Oct-2025,TYZ25,USD,0,-0.000146712,-1.68839E-05,0.004827203,-0.000728692,0.000118764,2.69957E-05,2.70103E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 101.5,2025-10-03 00:00:00,0.038625,112.84375,101.5,P,0.462565992,-0.000931277,0.00026474,0.000816267,-0.00099671,-5.81304E-06,1000.0000,CBoT 10y Friday Call Options P 101.5 Oct-2025,TYZ25,USD,0,-0.0002098,-3.42992E-05,0.002426064,-0.000741692,0.000170721,5.45241E-05,7.74811E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 102,2025-10-03 00:00:00,0.038543,112.921875,102,P,0.630051927,-0.000964145,0.000192952,0.000874345,-0.00099999,-3.01019E-06,1000.0000,CBoT 10y Friday Call Options P 102 Oct-2025,TYZ25,USD,0,-0.000158553,-1.88824E-05,0.004994736,-0.000822161,0.000133421,2.90612E-05,3.0046E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 102,2025-10-03 00:00:00,0.038625,112.84375,102,P,0.442748645,-0.000970423,0.000275039,0.00088567,-0.00099659,-6.05509E-06,1000.0000,CBoT 10y Friday Call Options P 102 Oct-2025,TYZ25,USD,0,-0.000226846,-3.83861E-05,0.002510791,-0.000837484,0.000191932,5.87232E-05,8.62462E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 102.5,2025-10-03 00:00:00,0.038543,112.921875,102.5,P,0.602091496,-0.001006164,0.000200696,0.000951487,-0.00099999,-3.14018E-06,1000.0000,CBoT 10y Friday Call Options P 102.5 Oct-2025,TYZ25,USD,0,-0.000171913,-2.12159E-05,0.005175256,-0.000932427,0.000150625,3.13813E-05,3.3569E-06,
2025-10-01 00:00:00,0.001,TYZ25 P 102.5,2025-10-03 00:00:00,0.038625,112.84375,102.5,P,0.422967743,-0.00101301,0.000286209,0.000964367,-0.00099646,-6.3184E-06,1000.0000,CBoT 10y Friday Call Options P 102.5 Oct-2025,TYZ25,USD,0,-0.000246094,-4.31632E-05,0.002602135,-0.000950619,0.000216859,6.34438E-05,9.64286E-06,
2025-10-02 00:00:00,0.001,TYZ25 P 103,2025-10-03 00:00:00,0.038543,112.921875,103,P,0.57417771,-0.001052031,0.000209119,0.001039393,-0.00099999,-3.28207E-06,1000.0000,CBoT 10y Friday Call Options P 103 Oct-2025,TYZ25,USD,0,-0.00018707,-2.39597E-05,0.005370457,-0.0010635,0.000170969,3.40013E-05,3.76847E-06,
