Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,RIC
2025-12-17 00:00:00,13.015625,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.03607,112.4375,99.5,C,0.87963076,0.971734888,0.00535832,0.008793297,-0.073428785,0.005273634,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.001350136,-2.28402E-05,0.029786567,-0.00257925,0.000283623,0.000214619,1.274E-06,TY3W995L25
2025-12-16 00:00:00,13.015625,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.036157,112.515625,99.5,C,0.488532634,0.997131034,0.00081422,0.001597711,-0.002246243,0.00815155,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.000448757,-5.22461E-05,0.003752651,-0.001009268,0.000246681,0.000128072,1.23306E-05,TY3W995L25
2025-12-15 00:00:00,12.78125,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.036259,112.28125,99.5,C,0.428125295,0.99632845,0.001166752,0.001966995,-0.002765225,0.010858932,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.000618242,-7.58638E-05,0.003407536,-0.001193251,0.000323462,0.000197575,1.97055E-05,TY3W995L25
2025-12-12 00:00:00,12.671875,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.03623,112.171875,99.5,C,0.340741907,0.994134968,0.002321451,0.002814336,-0.003313491,0.018956019,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.001100293,-0.000143187,0.00277665,-0.001529189,0.000505206,0.000438237,4.44054E-05,TY3W995L25
2025-12-11 00:00:00,12.953125,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.036223,112.453125,99.5,C,0.330331597,0.993456516,0.002734009,0.002976864,-0.003438334,0.021646937,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.001228065,-0.000157692,0.002634021,-0.00153812,0.000533192,0.000516621,5.10011E-05,TY3W995L25
2025-12-10 00:00:00,12.71875,1MN C 99.5 12/19/2025 C 99.5,2025-12-19 00:00:00,0.03625,112.21875,99.5,C,0.310344946,0.992774925,0.003152291,0.003260539,-0.003401107,0.024334322,1000.0000,CBoT 10y Friday Call Options C 99.5 Dec-2025,1MN C 99.5 12/19/2025,USD,0,-0.001404234,-0.000184273,0.002519692,-0.001667839,0.0006004,0.000616829,6.14575E-05,TY3W995L25
2025-12-17 00:00:00,0.001,1MN P 99.5 12/19/2025 P 99.5,2025-12-19 00:00:00,0.03607,112.4375,99.5,P,0.528039574,-0.000824892,0.000235729,0.000641905,-0.000997037,-5.13689E-06,1000.0000,CBoT 10y Friday Call Options P 99.5 Dec-2025,1MN P 99.5 12/19/2025,USD,0,-0.000166037,-2.44239E-05,0.002191766,-0.000516794,0.000120007,4.34878E-05,5.58367E-06,TY3W995X25
2025-12-16 00:00:00,0.001,1MN P 99.5 12/19/2025 P 99.5,2025-12-19 00:00:00,0.036157,112.515625,99.5,P,0.433385715,-0.000820329,0.000287988,0.000634884,-0.000949599,-7.66847E-06,1000.0000,CBoT 10y Friday Call Options P 99.5 Dec-2025,1MN P 99.5 12/19/2025,USD,0,-0.000201358,-3.61318E-05,0.001454348,-0.000508753,0.000144873,6.46695E-05,1.01307E-05,TY3W995X25
2025-12-15 00:00:00,0.001,1MN P 99.5 12/19/2025 P 99.5,2025-12-19 00:00:00,0.036259,112.28125,99.5,P,0.369500361,-0.000834126,0.000337698,0.000656224,-0.000865769,-1.03734E-05,1000.0000,CBoT 10y Friday Call Options P 99.5 Dec-2025,1MN P 99.5 12/19/2025,USD,0,-0.000239491,-5.02192E-05,0.001106069,-0.000533308,0.000174693,8.84925E-05,1.61906E-05,TY3W995X25
2025-12-12 00:00:00,0.001,1MN P 99.5 12/19/2025 P 99.5,2025-12-19 00:00:00,0.03623,112.171875,99.5,P,0.2772624,-0.000840696,0.00045228,0.000666507,-0.000637712,-1.82778E-05,1000.0000,CBoT 10y Friday Call Options P 99.5 Dec-2025,1MN P 99.5 12/19/2025,USD,0,-0.000321251,-8.96123E-05,0.000636136,-0.000545262,0.000235848,0.000156757,3.81424E-05,TY3W995X25
