Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,RIC
2025-10-03 00:00:00,0.001,VBYM P 100 10/06/2025 P 100,2025-10-06 00:00:00,0.038679,112.671875,100,P,0.421516028,-0.000840996,0.000295145,0.000666951,-0.000949054,-7.87039E-06,1000.0000,CBoT 10y Monday Call Options P 100 Oct-2025,VBYM P 100 10/06/2025,USD,0,-0.000211399,-3.87919E-05,0.001485046,-0.000548228,0.000155941,6.78312E-05,1.08574E-05,VY1W100V25^J25
2025-10-02 00:00:00,0.001,VBYM P 100 10/06/2025 P 100,2025-10-06 00:00:00,0.038543,112.921875,100,P,0.371242568,-0.000826037,0.000336579,0.000643641,-0.00086616,-1.03318E-05,1000.0000,CBoT 10y Monday Call Options P 100 Oct-2025,VBYM P 100 10/06/2025,USD,0,-0.000236442,-4.94563E-05,0.001097128,-0.000521097,0.000171848,8.79436E-05,1.60554E-05,VY1W100V25^J25
2025-10-01 00:00:00,0.001,VBYM P 100 10/06/2025 P 100,2025-10-06 00:00:00,0.038625,112.84375,100,P,0.330322662,-0.000830637,0.00037875,0.000650765,-0.000780417,-1.29772E-05,1000.0000,CBoT 10y Monday Call Options P 100 Oct-2025,VBYM P 100 10/06/2025,USD,0,-0.000266966,-6.26805E-05,0.000881761,-0.000529341,0.000194923,0.000110882,2.27183E-05,VY1W100V25^J25
2025-10-03 00:00:00,0.001,VBYM P 100.5 10/06/2025 P 100.5,2025-10-06 00:00:00,0.038679,112.671875,100.5,P,0.405213853,-0.000872835,0.000305527,0.000717903,-0.000948226,-8.16525E-06,1000.0000,CBoT 10y Monday Call Options P 100.5 Oct-2025,VBYM P 100.5 10/06/2025,USD,0,-0.000226858,-4.29514E-05,0.001532009,-0.000611721,0.000173344,7.2539E-05,1.19648E-05,VY1W1005V25^J25
2025-10-02 00:00:00,0.001,VBYM P 100.5 10/06/2025 P 100.5,2025-10-06 00:00:00,0.038543,112.921875,100.5,P,0.357142687,-0.000856736,0.000348246,0.000691891,-0.000864738,-1.07118E-05,1000.0000,CBoT 10y Monday Call Options P 100.5 Oct-2025,VBYM P 100.5 10/06/2025,USD,0,-0.000253413,-5.46614E-05,0.001131218,-0.000580299,0.000190666,9.39359E-05,1.76632E-05,VY1W1005V25^J25
2025-10-01 00:00:00,0.001,VBYM P 100.5 10/06/2025 P 100.5,2025-10-06 00:00:00,0.038625,112.84375,100.5,P,0.317706171,-0.000861685,0.000392004,0.000699836,-0.000778657,-1.34571E-05,1000.0000,CBoT 10y Monday Call Options P 100.5 Oct-2025,VBYM P 100.5 10/06/2025,USD,0,-0.000286239,-6.93157E-05,0.000909309,-0.000589838,0.000216393,0.000118481,2.50063E-05,VY1W1005V25^J25
2025-10-03 00:00:00,0.001,VBYM P 101 10/06/2025 P 101,2025-10-06 00:00:00,0.038679,112.671875,101,P,0.388949247,-0.000907157,0.000316692,0.000774916,-0.000947349,-8.48309E-06,1000.0000,CBoT 10y Monday Call Options P 101 Oct-2025,VBYM P 101 10/06/2025,USD,0,-0.000244093,-4.77363E-05,0.001582231,-0.000685418,0.000193455,7.77669E-05,1.32318E-05,VY1W101V25^J25
2025-10-02 00:00:00,0.001,VBYM P 101 10/06/2025 P 101,2025-10-06 00:00:00,0.038543,112.921875,101,P,0.343076202,-0.000889779,0.000360777,0.000745762,-0.000863243,-1.11207E-05,1000.0000,CBoT 10y Monday Call Options P 101 Oct-2025,VBYM P 101 10/06/2025,USD,0,-0.000272294,-6.06331E-05,0.001167626,-0.000648818,0.000212352,0.000100577,1.94981E-05,VY1W101V25^J25
2025-10-01 00:00:00,0.001,VBYM P 101 10/06/2025 P 101,2025-10-06 00:00:00,0.038625,112.84375,101,P,0.305119315,-0.000895119,0.000406253,0.000754661,-0.000776811,-1.3974E-05,1000.0000,CBoT 10y Monday Call Options P 101 Oct-2025,VBYM P 101 10/06/2025,USD,0,-0.000307695,-7.69342E-05,0.000938742,-0.000659919,0.000241158,0.000126907,2.76194E-05,VY1W101V25^J25
2025-10-03 00:00:00,0.001,VBYM P 101.5 10/06/2025 P 101.5,2025-10-06 00:00:00,0.038679,112.671875,101.5,P,0.372719509,-0.000944273,0.000328737,0.000839006,-0.000946419,-8.82681E-06,1000.0000,CBoT 10y Monday Call Options P 101.5 Oct-2025,VBYM P 101.5 10/06/2025,USD,0,-0.000263392,-5.32713E-05,0.001636092,-0.000771483,0.000216833,8.35974E-05,1.46891E-05,VY1W1015V25^J25
